,Unnamed: 0,Posição,País (ou território dependente),Estimativa da ONU,Data,Estimativa Oficial
109,,108,Nicarágua,6 624 554,2020,Estimativa oficial
110,,109,Quirguistão,6 524 195,2020,Estimativa oficial
111,,110,El Salvador,6 486 205,2020,Estimativa oficial
112,,111,Turquemenistão,6 031 200,2020,Estimativa oficial
113,,112,Singapura,5 850 342,2020,Estimativa oficial
114,,113,Dinamarca,5 792 202,2020,Estimativa oficial
115,,114,Finlândia,5 540 720,2020,Estimativa oficial
116,,115,Congo,5 518 087,2020,Estimativa oficial
117,,116,Eslováquia,5 459 642,2020,Estimativa oficial
118,,117,Noruega,5 421 241,2020,Estimativa oficial
119,,118,Omã,5 106 626,2020,Estimativa oficial
120,,119,Palestina,5 101 414,2020,Estimativa oficial
121,,120,Costa Rica,5 094 118,2020,Estimativa oficial
122,,121,Libéria,5 057 681,2020,Estimativa oficial
123,,122,Irlanda,4 937 786,2020,Estimativa oficial
124,,123,República Centro-Africana,4 829 767,2020,Estimativa oficial
125,,124,Nova Zelândia,4 822 233,2020,Estimativa oficial
126,,125,Mauritânia,4 649 658,2020,Estimativa oficial
127,,126,Panamá,4 314 767,2020,Estimativa oficial
128,,127,Kuwait,4 270 571,2020,Estimativa oficial
129,,128,Croácia,4 105 267,2020,Estimativa oficial
130,,129,Geórgia,3 989 167,2020,Estimativa oficial
131,,130,Eritreia,3 546 421,2020,Estimativa oficial
132,,131,Uruguai,3 473 730,2020,Estimativa oficial
133,,132,Bósnia e Herzegovina,3 280 819,2020,Estimativa oficial
134,,133,Mongólia,3 278 290,2020,Estimativa oficial
135,,134,Arménia,2 963 243,2020,Estimativa oficial
136,,135,Jamaica,2 961 167,2020,Estimativa oficial
137,,136,Catar,2 881 053,2020,Estimativa oficial
138,,137,Albânia,2 877 797,2020,Estimativa oficial
139,,–,Porto Rico (Estados Unidos),2 860 853,2020,Estimativa oficial
140,,138,Lituânia,2 722 289,2020,Estimativa oficial
141,,139,Moldávia,2 640 438,2020,Estimativa oficial
142,,140,Namíbia,2 540 905,2020,Estimativa oficial
143,,141,Gâmbia,2 416 668,2020,Estimativa oficial
144,,142,Botswana,2 351 627,2020,Estimativa oficial
145,,143,Gabão,2 225 734,2020,Estimativa oficial
146,,144,Lesoto,2 142 249,2020,Estimativa oficial
147,,145,Macedônia do Norte,2 083 374,2020,Estimativa oficial
148,,146,Eslovénia,2 078 938,2020,Estimativa oficial
149,,147,Guiné-Bissau,1 968 001,2020,Estimativa oficial
150,,148,Letónia,1 886 198,2020,Estimativa oficial
151,,–,Kosovo,1 795 666,2020,Estimativa oficial
152,,149,Bahrein,1 701 575,2020,Estimativa oficial
153,,150,Guiné Equatorial,1 402 985,2020,Estimativa oficial
154,,151,Trinidad e Tobago,1 399 488,2020,Estimativa oficial
155,,152,Estónia,1 326 335,2020,Estimativa oficial
156,,153,Timor-Leste,1 318 445,2020,Estimativa oficial
157,,154,Maurícia,1 271 768,2020,Estimativa oficial
158,,155,Eswatini,1 160 164,2020,Estimativa oficial
159,,156,Djibouti,988 000,2020,Estimativa oficial
160,,157,Chipre,900 432,2020,Estimativa oficial
161,,158,Fiji,896 445,2020,Estimativa oficial
162,,–,Reunião (França),895 312,2020,Estimativa Oficial
163,,159,Comores,869 601,2020,Estimativa oficial
164,,160,Guiana,786 552,2020,Estimativa oficial
165,,161,Butão,771 608,2020,Estimativa oficial
166,,162,Ilhas Salomão,686 884,2020,Estimativa oficial
167,,–,Macau (China),649 335,2020,Estimativa oficial
168,,163,Montenegro,649 335,2020,Estimativa oficial
169,,164,Luxemburgo,625 978,2020,Estimativa oficial
170,,–,Saara Ocidental (Marrocos),597 339,2019,Estimativa oficial
171,,165,Suriname,586 632,2020,Estimativa oficial
172,,166,Cabo Verde,555 987,2020,Estimativa oficial
173,,167,Maldivas,540 544,2020,Estimativa oficial
174,,168,Malta,441 543,2020,Estimativa oficial
175,,–,Transnístria (Moldávia),469 000,2020,Estimativa oficial
176,,169,Brunei,437 479,2020,Estimativa oficial
177,,–,Guadalupe (França),400 124,2020,Estimativa Oficial[2]
178,,170,Belize,397 628,2020,Estimativa oficial
179,,171,Bahamas,393 244,2020,Estimativa oficial
180,,–,Martinica (França),375 265,2020,Estimativa Oficial [3]
181,,–,República Turca de Chipre do Norte (Chipre),351 965,2020,Estimativa oficial
182,,172,Islândia,341 243,2020,Estimativa oficial
183,,173,Vanuatu,307 145,2020,Estimativa oficial
184,,–,Guiana Francesa (França),298 682,2020,Estimativa oficial [4]
185,,174,Barbados,287 375,2020,Estimativa oficial
186,,–,Nova Caledônia (França),285 498,2020,Estimativa oficial
187,,–,Polinésia Francesa (França),280 908,2020,Estimativa oficial
188,,–,Mayotte (França),272 815,2020,Estimativa oficial[5]
189,,–,Abecásia (Geórgia),245 424,2020,Estimativa oficial
190,,175,São Tomé e Príncipe,219 159,2020,Estimativa oficial
191,,176,Samoa,198 414,2020,Estimativa oficial
192,,177,Santa Lúcia,183 627,2020,Estimativa oficial
193,,–,Guam (Estados Unidos),168 775,2020,Estimativa oficial
194,,–,Curaçau (Países Baixos),164 093,2020,Estimativa oficial
195,,178,Kiribati,119 449,2020,Estimativa oficial
196,,179,Estados Federados da Micronésia,114 419,2020,Estimativa oficial
197,,180,Granada,112 523,2020,Estimativa oficial
198,,181,São Vicente e Granadinas,110 940,2020,Estimativa oficial
199,,–,Jersey (Reino Unido),107 800,2020,Estimativa oficial
200,,–,Aruba (Países Baixos),106 766,2020,Estimativa oficial
201,,182,Tonga,105 695,2020,Estimativa oficial
202,,–,U.S. Ilhas Virgens (Estados Unidos),104 425,2020,Estimativa oficial
203,,183,Seicheles,98 347,2020,Estimativa oficial
204,,184,Antígua e Barbuda,97 929,2020,Estimativa oficial
205,,–,Ilha de Man (Reino Unido),85 033,2020,Estimativa oficial
206,,185,Andorra,77 265,2020,Estimativa oficial
207,,186,Domínica,71 986,2020,Estimativa oficial
208,,–,Ilhas Cayman (Reino Unido),65 722,2020,Estimativa oficial
209,,–,Guernsey (Reino Unido),63 155,2020,Estimativa oficial
210,,–,Bermudas (Reino Unido),62 278,2020,Estimativa oficial
211,,187,Ilhas Marshall,59 190,2020,Estimativa oficial
212,,–,Marianas Setentrionais (Estados Unidos),57 559,2020,Estimativa oficial
213,,–,Ossétia do Sul (Geórgia),57 095,2020,Estimativa oficial
214,,–,Gronelândia (Dinamarca),56 770,2020,Estimativa oficial
