pais_origem,pais_destino,iso_cod,litros_exportados,valor_exportacao,preco_litro,populacao,temp_anual_media
Brasil,Guiana,GUY,0.004569,0.014067,3.078791858174655,786552,26.0
Brasil,Singapura,SGP,0.004504,0.014346,3.185168738898757,5850342,26.45
Brasil,Tailândia,THA,0.002843,0.007179,2.525149489975378,69799978,26.3
Brasil,São Tomé e Príncipe,STP,0.002184,0.002357,1.0792124542124542,219159,23.75
Brasil,Camarões,CMR,0.001749,0.007654,4.376214979988565,26545864,24.6
Brasil,Antígua e Barbuda,ATG,0.001685,0.005872,3.4848664688427298,97929,25.85
Brasil,Aruba,ABW,0.00135,0.002435,1.8037037037037038,106766,28.0
Brasil,Trinidad e Tobago,TTO,0.000891,0.00432,4.848484848484849,1399488,25.75
Brasil,Turquia,TUR,0.000818,0.001237,1.5122249388753055,84339067,9.9
Brasil,Barein,BHR,0.000792,0.003066,3.871212121212121,1701575,26.8
Brasil,Gibraltar,GIB,0.000792,0.002953,3.7285353535353534,33691,19.0
Brasil,Áustria,AUT,0.000675,0.00522,7.733333333333333,9006398,6.35
Brasil,Hungria,HUN,0.000627,0.004686,7.473684210526316,9660351,9.75
Brasil,República Dominicana,DOM,0.000601,0.002438,4.05657237936772,10847910,24.55
Brasil,Eslováquia,SVK,0.000585,0.016063,27.458119658119656,5459642,6.8
Brasil,Dominica,DMA,0.00046,0.000634,1.3782608695652174,72412,22.35
Brasil,Barbados,BRB,0.000395,0.001407,3.562025316455696,287375,26.0
Brasil,Letônia,LVA,0.000387,0.003723,9.62015503875969,1886198,5.6
Brasil,Congo,COG,0.00036,0.00057,1.5833333333333333,5518087,25.0
Brasil,Namíbia,NAM,0.00034,0.000722,2.123529411764706,2540905,19.95
Brasil,Ilhas Cayman,CYM,0.000265,0.001004,3.788679245283019,65722,28.0
Brasil,Honduras,HND,0.000176,0.00061,3.465909090909091,9904607,23.5
Brasil,Irã,IRN,0.000137,0.000322,2.3503649635036497,83992949,17.25
Brasil,Ilha de Man,IMN,0.000136,0.000741,5.448529411764706,85033,11.0
Brasil,Bulgária,BGR,0.000117,0.001579,13.495726495726496,6948445,10.55
Brasil,Guiana Francesa,GUF,9e-05,3.2e-05,0.35555555555555557,298682,25.0
Brasil,Índia,IND,7.1e-05,0.000369,5.197183098591549,1429921746,23.65
Brasil,Malásia,MYS,6.3e-05,0.000143,2.2698412698412698,32365999,25.4
Brasil,Costa Rica,CRI,5.5e-05,0.0002,3.6363636363636362,5094118,24.8
Brasil,El Salvador,SLV,5.5e-05,0.0001,1.8181818181818181,6486205,24.45
Brasil,Guiné-Bissau,GNB,4.8e-05,9e-05,1.875,1968001,26.75
Brasil,Bósnia-Herzegovina,BIH,4.5e-05,5.2e-05,1.1555555555555554,3280819,9.85
Brasil,Montenegro,MNE,3.2e-05,0.000131,4.09375,649335,10.55
