Países,Quantidade (Kg),Valor (US$)
Afeganistão,-,-
África do Sul,-,-
"Alemanha, República Democrática",8.189,56.342
Angola,2.833,8.861
Anguilla,-,-
Antígua e Barbuda,-,-
Antilhas Holandesas,9.247,14.081
Argentina,-,-
Aruba,-,-
Austrália,9.345,56.045
Áustria,-,-
Bahamas,1.374,12.087
Bangladesh,-,-
Barbados,-,-
Barein,-,-
Bélgica,16.132,90.718
Belice,-,-
Benin,-,-
Bolívia,11.868,16.804
Bósnia-Herzegovina,-,-
Brasil,-,-
Bulgária,-,-
Cabo Verde,-,-
Camarões,-,-
Canadá,14.304,146.035
Catar,-,-
"Cayman, Ilhas",-,-
Chile,8.550,15.438
China,87.905,642.177
Chipre,-,-
Cingapura,1.212,5.310
Colômbia,-,-
Comores,-,-
Congo,-,-
"Coreia, Republica Sul",-,-
Costa do Marfim,-,-
Costa Rica,-,-
Croácia,-,-
Cuba,-,-
Curaçao,-,-
Dinamarca,4.716,23.802
Dominica,-,-
El Salvador,-,-
Emirados Arabes Unidos,675,3.300
Equador,-,-
"Eslovaca, Republica",-,-
Espanha,-,-
Estados Unidos,146.585,303.986
Estônia,3.321,19.384
Filipinas,-,-
Finlândia,17.100,67.959
França,195.604,185.791
Gana,-,-
Gibraltar,-,-
Grécia,-,-
Guatemala,-,-
Guiana,-,-
Guiana Francesa,-,-
Guine Bissau,-,-
Guine Equatorial,819,2.530
Haiti,-,-
Honduras,-,-
Hong Kong,1.609,7.653
Hungria,-,-
Ilha de Man,-,-
Ilhas Virgens,-,-
India,-,-
Indonésia,-,-
Irã,-,-
Iraque,-,-
Irlanda,-,-
Itália,792,5.622
Jamaica,-,-
Japão,29.281,116.961
Jordânia,-,-
Letônia,-,-
Líbano,-,-
Libéria,-,-
Luxemburgo,2.444,16.547
Malásia,-,-
Malta,-,-
"Marshall, Ilhas",-,-
Mauritânia,-,-
México,-,-
Montenegro,-,-
Namibia,-,-
Nicaragua,-,-
Nigéria,6.449,10.196
Noruega,5.104,31.515
Nova Caledônia,-,-
Nova Zelândia,2.364,8.817
Países Baixos,134.879,539.641
Panamá,39,2.262
Paraguai,354.824,428.279
Peru,-,-
Polônia,21.663,89.158
Porto Rico,-,-
Portugal,47.172,47.022
Quênia,94,458
Reino Unido,82.937,334.856
República Dominicana,-,-
Rússia,4.528.176,2.103.968
São Tomé e Príncipe,-,-
São Vicente e Granadinas,-,-
Senegal,-,-
Serra Leoa,-,-
Singapura,-,-
Suazilândia,-,-
Suécia,2.705,17.280
Suíça,4.014,47.240
Suriname,396,1.288
Tailândia,-,-
Taiwan (FORMOSA),-,-
Tanzânia,-,-
"Tcheca, República",7.960,27.789
Togo,-,-
Trinidade Tobago,531,2.720
Tunísia,-,-
Turquia,-,-
Tuvalu,-,-
Uruguai,1.135,3.879
Vanuatu,-,-
Venezuela,1.029,7.492
Vietnã,-,-
Total,5.775.376,5.521.293
