Países,Quantidade (Kg),Valor (US$)
Afeganistão,11,46
África do Sul,-,-
"Alemanha, República Democrática",2.698,6.741
Angola,-,-
Anguilla,-,-
Antígua e Barbuda,805,2.268
Antilhas Holandesas,-,-
Argentina,6,13
Aruba,-,-
Austrália,705,4.034
Áustria,-,-
Bahamas,1.083,4.567
Bangladesh,2,20
Barbados,216,844
Barein,302,894
Bélgica,483,3.749
Belice,-,-
Benin,-,-
Bolívia,5.850,8.360
Bósnia-Herzegovina,-,-
Brasil,31,46
Bulgária,-,-
Cabo Verde,16,124
Camarões,-,-
Canadá,1.172,6.157
Catar,1,2
"Cayman, Ilhas",104,356
Chile,26,6
China,61.884,264.116
Chipre,1.855,4.530
Cingapura,-,-
Colômbia,12.160,21.867
Comores,-,-
Congo,-,-
"Coreia, Republica Sul",67,100
Costa do Marfim,-,-
Costa Rica,-,-
Croácia,-,-
Cuba,-,-
Curaçao,32.263,58.993
Dinamarca,87,504
Dominica,460,634
El Salvador,-,-
Emirados Arabes Unidos,810,10.522
Equador,-,-
"Eslovaca, Republica",-,-
Espanha,-,-
Estados Unidos,111.085,203.554
Estônia,-,-
Filipinas,2.784,10.368
Finlândia,-,-
França,7.052,23.742
Gana,12.578,19.196
Gibraltar,-,-
Grécia,908,3.014
Guatemala,17.347,29.100
Guiana,2.372,6.525
Guiana Francesa,90,32
Guine Bissau,-,-
Guine Equatorial,-,-
Haiti,670.379,831.181
Honduras,-,-
Hong Kong,12.507,39.390
Hungria,87,583
Ilha de Man,97,445
Ilhas Virgens,-,-
India,13,86
Indonésia,-,-
Irã,116,287
Iraque,-,-
Irlanda,36,208
Itália,696,3.715
Jamaica,-,-
Japão,39.491,90.275
Jordânia,-,-
Letônia,-,-
Líbano,-,-
Libéria,7.554,23.060
Luxemburgo,-,-
Malásia,-,-
Malta,3.441,15.454
"Marshall, Ilhas",8.644,22.561
Mauritânia,9,85
México,9,2
Montenegro,14,65
Namibia,-,-
Nicaragua,-,-
Nigéria,68.247,113.172
Noruega,1.878,8.320
Nova Caledônia,7.227,11.924
Nova Zelândia,657,10.477
Países Baixos,3.791,8.484
Panamá,29.520,48.444
Paraguai,6.522.527,7.192.362
Peru,9.720,17.107
Polônia,4,14
Porto Rico,-,-
Portugal,6.358,42.633
Quênia,-,-
Reino Unido,25.316,122.394
República Dominicana,-,-
Rússia,181.931,312.926
São Tomé e Príncipe,-,-
São Vicente e Granadinas,8,48
Senegal,-,-
Serra Leoa,6.525,12.955
Singapura,4.504,14.346
Suazilândia,10,24
Suécia,23,74
Suíça,627,6.999
Suriname,900,1.472
Tailândia,1.334,2.529
Taiwan (FORMOSA),1.313,8.153
Tanzânia,-,-
"Tcheca, República",456,5.988
Togo,1.890,2.012
Trinidade Tobago,-,-
Tunísia,-,-
Turquia,343,878
Tuvalu,-,-
Uruguai,136.774,149.842
Vanuatu,-,-
Venezuela,26.415,35.944
Vietnã,-,-
Total,8.058.704,9.851.942
