Países,Quantidade (Kg),Valor (US$)
Afeganistão,-,-
África do Sul,-,-
"Alemanha, República Democrática",265.742,429.970
Angola,25.721,71.083
Anguilla,-,-
Antígua e Barbuda,-,-
Antilhas Holandesas,17.938,22.908
Argentina,-,-
Aruba,-,-
Austrália,218.726,99.280
Áustria,-,-
Bahamas,-,-
Bangladesh,-,-
Barbados,-,-
Barein,-,-
Bélgica,3.523,12.969
Belice,-,-
Benin,10.350,17.423
Bolívia,3.979,3.990
Bósnia-Herzegovina,-,-
Brasil,-,-
Bulgária,-,-
Cabo Verde,-,-
Camarões,-,-
Canadá,20.949,80.476
Catar,-,-
"Cayman, Ilhas",-,-
Chile,-,-
China,8.689,25.926
Chipre,-,-
Cingapura,1.233,4.699
Colômbia,-,-
Comores,-,-
Congo,-,-
"Coreia, Republica Sul",3.520,14.366
Costa do Marfim,-,-
Costa Rica,55,200
Croácia,-,-
Cuba,-,-
Curaçao,-,-
Dinamarca,518,15.905
Dominica,-,-
El Salvador,-,-
Emirados Arabes Unidos,2.437,12.298
Equador,-,-
"Eslovaca, Republica",585,16.063
Espanha,2.942,6.834
Estados Unidos,443.895,804.607
Estônia,4.114,9.730
Filipinas,-,-
Finlândia,-,-
França,11.078,27.500
Gana,18.168,25.642
Gibraltar,-,-
Grécia,-,-
Guatemala,-,-
Guiana,-,-
Guiana Francesa,-,-
Guine Bissau,-,-
Guine Equatorial,548,1.417
Haiti,20,20
Honduras,162,580
Hong Kong,2.430,13.460
Hungria,-,-
Ilha de Man,-,-
Ilhas Virgens,-,-
India,-,-
Indonésia,-,-
Irã,-,-
Iraque,-,-
Irlanda,-,-
Itália,-,-
Jamaica,-,-
Japão,232.293,178.333
Jordânia,-,-
Letônia,-,-
Líbano,-,-
Libéria,-,-
Luxemburgo,13.606,42.341
Malásia,-,-
Malta,-,-
"Marshall, Ilhas",-,-
Mauritânia,-,-
México,-,-
Montenegro,-,-
Namibia,340,722
Nicaragua,-,-
Nigéria,7.560,10.920
Noruega,-,-
Nova Caledônia,-,-
Nova Zelândia,-,-
Países Baixos,340.412,783.635
Panamá,1.161,1.882
Paraguai,2.191.901,1.374.088
Peru,-,-
Polônia,20.290,58.353
Porto Rico,-,-
Portugal,49.090,48.942
Quênia,-,-
Reino Unido,100.097,155.076
República Dominicana,-,-
Rússia,6.207.658,2.352.768
São Tomé e Príncipe,-,-
São Vicente e Granadinas,-,-
Senegal,-,-
Serra Leoa,-,-
Singapura,-,-
Suazilândia,-,-
Suécia,26.984,84.564
Suíça,54.384,216.317
Suriname,900,1.625
Tailândia,-,-
Taiwan (FORMOSA),10.030,18.679
Tanzânia,-,-
"Tcheca, República",17.135,64.709
Togo,5.160,7.800
Trinidade Tobago,-,-
Tunísia,-,-
Turquia,-,-
Tuvalu,-,-
Uruguai,-,-
Vanuatu,-,-
Venezuela,-,-
Vietnã,-,-
Total,10.346.323,7.118.100
