Países,Quantidade (Kg),Valor (US$)
Afeganistão,-,-
África do Sul,-,-
"Alemanha, República Democrática",213.348,761.653
Angola,12.182,23.124
Anguilla,-,-
Antígua e Barbuda,-,-
Antilhas Holandesas,4.455,7.169
Argentina,20.385,95.130
Aruba,450,755
Austrália,6.308,43.709
Áustria,-,-
Bahamas,-,-
Bangladesh,-,-
Barbados,-,-
Barein,-,-
Bélgica,151.320,704.093
Belice,-,-
Benin,-,-
Bolívia,12.534,18.303
Bósnia-Herzegovina,-,-
Brasil,-,-
Bulgária,-,-
Cabo Verde,-,-
Camarões,-,-
Canadá,35.082,226.875
Catar,-,-
"Cayman, Ilhas",-,-
Chile,-,-
China,64.040,455.340
Chipre,-,-
Cingapura,541,3.887
Colômbia,-,-
Comores,-,-
Congo,-,-
"Coreia, Republica Sul",-,-
Costa do Marfim,-,-
Costa Rica,-,-
Croácia,-,-
Cuba,38.875,43.200
Curaçao,-,-
Dinamarca,3.240,16.871
Dominica,-,-
El Salvador,-,-
Emirados Arabes Unidos,640,3.381
Equador,-,-
"Eslovaca, Republica",-,-
Espanha,-,-
Estados Unidos,222.267,494.216
Estônia,-,-
Filipinas,-,-
Finlândia,12.960,94.962
França,33.755,167.807
Gana,-,-
Gibraltar,-,-
Grécia,-,-
Guatemala,-,-
Guiana,-,-
Guiana Francesa,-,-
Guine Bissau,-,-
Guine Equatorial,5.646,11.983
Haiti,-,-
Honduras,-,-
Hong Kong,18.130,63.534
Hungria,-,-
Ilha de Man,-,-
Ilhas Virgens,-,-
India,-,-
Indonésia,-,-
Irã,-,-
Iraque,-,-
Irlanda,-,-
Itália,604,2.492
Jamaica,-,-
Japão,106.426,401.774
Jordânia,-,-
Letônia,-,-
Líbano,-,-
Libéria,-,-
Luxemburgo,8.281,52.400
Malásia,-,-
Malta,-,-
"Marshall, Ilhas",-,-
Mauritânia,-,-
México,1.521,24.336
Montenegro,-,-
Namibia,-,-
Nicaragua,-,-
Nigéria,-,-
Noruega,7.179,50.464
Nova Caledônia,-,-
Nova Zelândia,2.800,13.675
Países Baixos,165.289,773.767
Panamá,-,-
Paraguai,521.847,908.028
Peru,-,-
Polônia,30.181,107.957
Porto Rico,-,-
Portugal,71.544,79.141
Quênia,-,-
Reino Unido,305.807,1.373.747
República Dominicana,-,-
Rússia,190.656,61.440
São Tomé e Príncipe,-,-
São Vicente e Granadinas,-,-
Senegal,-,-
Serra Leoa,-,-
Singapura,-,-
Suazilândia,-,-
Suécia,10.404,51.057
Suíça,27.933,231.762
Suriname,6,19
Tailândia,-,-
Taiwan (FORMOSA),12.519,67.907
Tanzânia,-,-
"Tcheca, República",4.500,35.005
Togo,-,-
Trinidade Tobago,360,1.600
Tunísia,-,-
Turquia,-,-
Tuvalu,-,-
Uruguai,-,-
Vanuatu,-,-
Venezuela,14,232
Vietnã,-,-
Total,2.324.029,7.472.795
