Países,Quantidade (Kg),Valor (US$)
Afeganistão,-,-
África do Sul,4,21
"Alemanha, República Democrática",6.261,32.605
Angola,-,-
Anguilla,-,-
Antígua e Barbuda,624,1.864
Antilhas Holandesas,-,-
Argentina,1.015,4.176
Aruba,-,-
Austrália,1.013,3.413
Áustria,-,-
Bahamas,1.212,3.703
Bangladesh,3,29
Barbados,143,169
Barein,8,28
Bélgica,3.166,20.460
Belice,-,-
Benin,-,-
Bolívia,9.900,16.025
Bósnia-Herzegovina,45,52
Brasil,-,-
Bulgária,-,-
Cabo Verde,-,-
Camarões,0,178
Canadá,1.672,8.431
Catar,-,-
"Cayman, Ilhas",123,339
Chile,11,13
China,122.253,363.000
Chipre,2.478,6.785
Cingapura,4.049,9.316
Colômbia,15.660,23.780
Comores,9,25
Congo,-,-
"Coreia, Republica Sul",103,433
Costa do Marfim,-,-
Costa Rica,-,-
Croácia,21,123
Cuba,-,-
Curaçao,47.962,65.986
Dinamarca,659,1.962
Dominica,-,-
El Salvador,-,-
Emirados Arabes Unidos,581,2.279
Equador,3.780,3.824
"Eslovaca, Republica",-,-
Espanha,28,126
Estados Unidos,300.178,610.793
Estônia,-,-
Filipinas,719,1.548
Finlândia,-,-
França,12.622,57.144
Gana,18.810,22.027
Gibraltar,769,2.860
Grécia,6.859,18.092
Guatemala,-,-
Guiana,990,2.577
Guiana Francesa,-,-
Guine Bissau,-,-
Guine Equatorial,-,-
Haiti,399.128,471.152
Honduras,-,-
Hong Kong,15.159,41.987
Hungria,-,-
Ilha de Man,11,121
Ilhas Virgens,-,-
India,7,10
Indonésia,5,6
Irã,21,35
Iraque,-,-
Irlanda,29,257
Itália,91,376
Jamaica,-,-
Japão,36.442,92.674
Jordânia,12,52
Letônia,-,-
Líbano,-,-
Libéria,5.155,17.624
Luxemburgo,1.086,5.110
Malásia,-,-
Malta,3.490,9.688
"Marshall, Ilhas",6.270,19.639
Mauritânia,-,-
México,24,226
Montenegro,9,20
Namibia,-,-
Nicaragua,-,-
Nigéria,12.094,26.514
Noruega,1.859,15.134
Nova Caledônia,-,-
Nova Zelândia,95,515
Países Baixos,248,1.532
Panamá,10.821,28.372
Paraguai,3.299.013,3.869.243
Peru,-,-
Polônia,74,86
Porto Rico,-,-
Portugal,7.958,34.518
Quênia,-,-
Reino Unido,22.913,82.722
República Dominicana,-,-
Rússia,1.463,8.550
São Tomé e Príncipe,-,-
São Vicente e Granadinas,-,-
Senegal,-,-
Serra Leoa,9.240,13.050
Singapura,-,-
Suazilândia,-,-
Suécia,6,24
Suíça,2.827,27.930
Suriname,4.185,5.277
Tailândia,534,1.753
Taiwan (FORMOSA),963,4.673
Tanzânia,-,-
"Tcheca, República",563,4.805
Togo,-,-
Trinidade Tobago,-,-
Tunísia,-,-
Turquia,-,-
Tuvalu,2,4
Uruguai,-,-
Vanuatu,18,31
Venezuela,4.086,9.808
Vietnã,86,584
Total,4.409.717,6.078.288
