Países,Quantidade (Kg),Valor (US$)
Afeganistão,-,-
África do Sul,26,95
"Alemanha, República Democrática",3.660,25.467
Angola,345,1.065
Anguilla,-,-
Antígua e Barbuda,219,1.549
Antilhas Holandesas,-,-
Argentina,-,-
Aruba,-,-
Austrália,1.161,4.682
Áustria,-,-
Bahamas,791,3.124
Bangladesh,-,-
Barbados,36,394
Barein,482,2.144
Bélgica,2.498,12.548
Belice,9,29
Benin,9,9
Bolívia,-,-
Bósnia-Herzegovina,-,-
Brasil,-,-
Bulgária,-,-
Cabo Verde,-,-
Camarões,-,-
Canadá,1.589,6.933
Catar,-,-
"Cayman, Ilhas",19,106
Chile,-,-
China,129.852,376.828
Chipre,672,1.843
Cingapura,5.044,19.099
Colômbia,897,1.999
Comores,-,-
Congo,-,-
"Coreia, Republica Sul",70,194
Costa do Marfim,-,-
Costa Rica,-,-
Croácia,-,-
Cuba,-,-
Curaçao,33.951,62.067
Dinamarca,240,306
Dominica,-,-
El Salvador,-,-
Emirados Arabes Unidos,450,2.202
Equador,2,3
"Eslovaca, Republica",-,-
Espanha,3.540,1.353
Estados Unidos,209.765,616.274
Estônia,-,-
Filipinas,736,2.486
Finlândia,-,-
França,18.286,67.072
Gana,7.673,10.010
Gibraltar,23,93
Grécia,561,1.994
Guatemala,1.597,8.719
Guiana,424,1.311
Guiana Francesa,-,-
Guine Bissau,-,-
Guine Equatorial,-,-
Haiti,81.873,129.803
Honduras,-,-
Hong Kong,9.651,42.020
Hungria,-,-
Ilha de Man,28,175
Ilhas Virgens,-,-
India,51,273
Indonésia,-,-
Irã,-,-
Iraque,-,-
Irlanda,-,-
Itália,587,1.625
Jamaica,-,-
Japão,40.621,99.642
Jordânia,-,-
Letônia,-,-
Líbano,-,-
Libéria,4.441,20.068
Luxemburgo,1.666,11.211
Malásia,48,110
Malta,3.661,8.828
"Marshall, Ilhas",7.276,15.786
Mauritânia,-,-
México,4,4
Montenegro,9,46
Namibia,-,-
Nicaragua,-,-
Nigéria,28.437,38.555
Noruega,628,3.139
Nova Caledônia,-,-
Nova Zelândia,500,2.832
Países Baixos,44.882,148.031
Panamá,7.918,29.017
Paraguai,2.419.537,3.826.587
Peru,9.755,17.310
Polônia,5,11
Porto Rico,-,-
Portugal,18.328,72.413
Quênia,-,-
Reino Unido,34.295,164.592
República Dominicana,-,-
Rússia,-,-
São Tomé e Príncipe,-,-
São Vicente e Granadinas,-,-
Senegal,-,-
Serra Leoa,18,717
Singapura,-,-
Suazilândia,-,-
Suécia,28,761
Suíça,2.223,28.503
Suriname,3.206,4.741
Tailândia,128,832
Taiwan (FORMOSA),12,67
Tanzânia,-,-
"Tcheca, República",2.115,16.391
Togo,-,-
Trinidade Tobago,-,-
Tunísia,-,-
Turquia,115,209
Tuvalu,-,-
Uruguai,6.180,18.497
Vanuatu,-,-
Venezuela,-,-
Vietnã,20,32
Total,3.152.873,5.934.826
